id,product_name,EAN,miso_artvonbonbonsanderensuesswaren,miso_artvonschokolade,miso_artvonsnackknabberartikel,miso_artvonzucker,miso_artvonspeiseoel,miso_artvonteigwarennudeln,miso_artvonverwendetemei,miso_artvonkraeuterngewuerzen,miso_artvonbearbeitetemgetreideprodukt,miso_artvonsaucedip,miso_artvonsalatsauce,miso_artvontrinkschokolade,miso_artvonerfrischungsgetraenk,miso_artvonkeksgebaeck,miso_artvonkuchen,miso_artvongebaeckpastete,miso_artvonummantelungfuellung,miso_artvonbrot,miso_artvonprodukt,miso_artvondessert,miso_artvonwasser,miso_artvonsportgetraenk,miso_artvonkrustentierenmuschelnschnecken,miso_artvonhonig,miso_artvoneingelegtemgemuesesauerkonserven,miso_artvonoliven,miso_artvonjoghurt,miso_artvonrahm,miso_artvonmilch,cat_5,cat_5_name,cat_4,cat_4_name,cat_3,cat_3_name,cat_2,cat_2_name,cat_1,cat_1_name
264580113200,Bio Avocado essreif,7610632000731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190102,Südfrüchte,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
264614613200,Limetten Max Havelaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190102,Südfrüchte,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265200202300,Erdbeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265200402400,Extra Erdbeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265200502400,Erdbeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265200602400,Sélection Erdbeeren Mara des bois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265200702400,Sélection Erdbeeren Gariguette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265201102300,Extra Erdbeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265280302600,Bio Erdbeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265300102300,Trauben gemischt kernlos Max Havelaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265300702300,Trauben weiss kernlos Max Havelaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265300902300,Trauben weiss kernlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265301002400,Sélection Trauben Muscat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265301101000,Trauben weiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265301501000,Trauben blau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265303302300,Trauben gemischt kernlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265312701000,Trauben Uva Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265313701000,Trauben Lavallée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265314001000,Sélection Trauben Uva Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190103,Trauben,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265600502300,Brombeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265602909200,Cranberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265606702300,Heidelbeeren,7610632050309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265608702300,Himbeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265608802300,Extra Himbeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
265680502400,Bio Himbeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190107,Beeren,BeSS_01011901,Früchte,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
270400509300,Chicorée,7610632993651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190203,Salate,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
270400902300,M-Budget Chicorée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190203,Salate,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
